Parcel Number,Sale Date,Sale Amount,Address,Style,Year Built,Total SF,Lot Area,Appraised Value,Recording
1013287005,06/30/2013,"$202,000","734 PERRY CT, IOWA CITY",1 1/2 Story Frame,1984,1238,"7,623","$324,830",5121-940
1023396010,06/12/2013,"$202,000","1405 LANGENBERG AVE, IOWA CITY",Split Level Frame,2003,1842,"8,195","$305,730",5119-332
1016271002,04/12/2013,"$203,000","1129 W BENTON ST, IOWA CITY",1 Story Frame,1959,1084,"12,300","$281,450",5200-738
1024117003,07/07/2013,"$203,000","3321 WINTERGREEN DR, IOWA CITY",1 Story Frame,2007,1303,"9,662","$337,450",5136-831
1023303003,03/27/2013,"$203,500","2355 NOR ST, IOWA CITY",1 Story Frame,2001,1278,"8,400","$315,750",5072-617
0907258014,04/16/2013,"$204,000","3600 LOWER WEST BRANCH RD, IOWA CITY",1 Story Frame,2008,1284,"10,332","$289,290",5084-12
1011326015,05/01/2013,"$204,000","1116 HOTZ AVE, IOWA CITY",1 1/2 Story Frame,1925,1056,"6,914","$286,680",5091-423
1013211007,10/04/2013,"$204,900","2720 BROOKSIDE DR, IOWA CITY",1 Story Frame,1966,1284,"12,000","$302,790",5180-376
1011352011,06/25/2013,"$205,000","1618 WILSON ST, IOWA CITY",1 Story Frame,1925,1357,"5,550","$421,580",5118-205
1022479008,07/08/2013,"$206,000","823 MCCOLLISTER CT, IOWA CITY",1 Story Frame,2007,1306,"8,295","$347,040",5135-666
0918228013,07/29/2013,"$206,500","619 SCOTT PARK DR, IOWA CITY",1 Story Frame,1998,1408,"6,916","$327,200",5166-756
1009203002,05/16/2013,"$206,500","927 PARK RD, IOWA CITY",1 Story Frame,1955,1056,"8,050","$363,170",5093-922
1011435013,05/17/2013,"$207,000","1822 GLENDALE RD, IOWA CITY",1 Story Brick,1962,1236,"8,800","$329,000",5108-119
1017483003,06/10/2013,"$207,000","16 EALING DR, IOWA CITY",Split Foyer Frame,1980,1290,"9,000","$306,520",5121-442
1016336001,05/28/2013,"$207,500","1014 SUNSET ST, IOWA CITY",1 Story Frame,1976,1308,"10,150","$315,110",5103-869
1011461002,06/19/2013,"$208,000","307 MORNINGSIDE DR, IOWA CITY",1 1/2 Story Frame,1955,1513,"6,840","$348,210",5118-796
1012302022,07/08/2013,"$208,000","19 GREEN MOUNTAIN DR, IOWA CITY",1 Story Frame,1976,1848,"11,475","$354,700",5123-490
1016260009,07/01/2013,"$208,000","1321 OAKCREST ST, IOWA CITY",1 Story Frame,1961,910,"7,800","$283,840",5134-311
